"Average",,,,,,,,,,,"R0",,,,,,,,,,"Analog",,
93,-3.33674,-0.789118,-0.0222077,0.739098,-0.00117912,0.00414629,0.000363783,0.00421264,-0.00124549,0.757486,-2.96421,0.0873111,-0.00172686,0.738444,-0.00118399,0.00433182,0.000425201,0.00439616,-0.00124834,0.96795,141.57,1.8048,7.3344
94,-3.33674,-0.789118,-0.0252688,0.755483,-0.00120843,0.00423119,0.000371677,0.00429897,-0.00127623,0.764785,-2.96421,0.0873111,-0.00473084,0.754893,-0.00121347,0.00441693,0.000429629,0.0044819,-0.00127846,0.977198,142.599,1.8416,7.4706
95,-3.33674,-0.789118,-0.0274533,0.768609,-0.00122823,0.00429892,0.000374766,0.0043682,-0.00129751,0.744834,-2.96421,0.0873111,-0.00690616,0.768068,-0.0012351,0.00447872,0.000431676,0.00454488,-0.00130128,0.947371,143.407,1.8715,7.5885
96,-3.33674,-0.789118,-0.0305214,0.783791,-0.00126209,0.00437283,0.000383052,0.00444339,-0.00133267,0.759724,-2.96421,0.0873111,-0.0099617,0.783245,-0.00126775,0.0045514,0.000442371,0.00461869,-0.00133504,0.973352,144.378,1.9034,7.7315
97,-3.33674,-0.789118,-0.033053,0.796664,-0.00128313,0.00443689,0.000387603,0.00450841,-0.00135465,0.74353,-2.96421,0.0873111,-0.0124621,0.796147,-0.0012863,0.00462005,0.000441693,0.00468723,-0.00135348,0.944765,145.175,1.9272,7.8378
98,-3.33674,-0.789118,-0.035412,0.812041,-0.00130728,0.00451795,0.000391167,0.00458982,-0.00137916,0.74492,-2.96421,0.0873111,-0.0147454,0.811448,-0.00131531,0.00469596,0.000447886,0.00476365,-0.001383,0.953678,146.145,1.9491,7.8378
99,-3.33674,-0.789118,-0.0379728,0.824675,-0.0013331,0.00458118,0.000401518,0.00465472,-0.00140665,0.748476,-2.96421,0.0873111,-0.0172932,0.824112,-0.00134077,0.00475694,0.000458414,0.00482641,-0.00141023,0.954818,146.949,1.9201,7.4551
100,-3.33674,-0.789118,-0.0322124,0.817811,-0.00128233,0.00442839,0.000388123,0.0044998,-0.00135374,0.749242,-2.96421,0.0873111,-0.0113139,0.817128,-0.00128585,0.0046064,0.000445891,0.0046744,-0.00135383,0.956642,147.755,1.8921,7.0851
101,-3.33674,-0.789118,-0.0252965,0.806185,-0.00122097,0.00425574,0.000375876,0.00432512,-0.00129034,0.761301,-2.96421,0.0873111,-0.00418393,0.805485,-0.00122426,0.00444291,0.000434872,0.00450919,-0.00129054,0.972475,148.479,1.8693,6.7788
102,-3.33674,-0.789118,-0.017457,0.793912,-0.00115589,0.00407665,0.000362579,0.00414372,-0.00122294,0.767117,-2.96421,0.0873111,0.0038777,0.793204,-0.00115685,0.00426688,0.000422805,0.00433189,-0.00122188,0.974779,149.291,1.8416,6.4445
103,-3.33674,-0.789118,-0.00829666,0.779312,-0.00107655,0.00385693,0.000347036,0.00392088,-0.00114051,0.798763,-2.96421,0.0873111,0.0133341,0.778547,-0.00107473,0.00405168,0.000410837,0.00411507,-0.0011381,1.01354,150.261,1.8123,6.0377
104,-3.33674,-0.789118,0.00254094,0.763682,-0.00100325,0.00363177,0.00033276,0.00369415,-0.00106564,0.805248,-2.96421,0.0873111,0.024451,0.762885,-0.000999582,0.00382924,0.000397664,0.00389139,-0.00106172,1.02723,151.257,1.7759,5.6329
105,-3.33674,-0.789118,0.0110018,0.749869,-0.000936554,0.00343805,0.00031792,0.00349759,-0.000996105,0.811033,-2.96421,0.0873111,0.0331678,0.749066,-0.000930489,0.00364471,0.000383469,0.0037049,-0.000990667,1.02141,152.14,1.7495,5.2793
106,-3.33674,-0.789118,0.020122,0.734584,-0.000861598,0.00321972,0.000302694,0.00327617,-0.000918033,0.834467,-2.96421,0.0873111,0.0425277,0.733746,-0.000853544,0.003431,0.000368731,0.00348897,-0.00091151,1.04984,153.143,1.7169,4.8667
107,-3.33674,-0.789118,0.0296968,0.720086,-0.000787007,0.00301129,0.000285264,0.00306504,-0.00084076,0.84007,-2.96421,0.0873111,0.0523538,0.719308,-0.000777221,0.00322187,0.000353577,0.00327785,-0.000833195,1.05759,154.1,1.6818,4.4851
108,-3.33674,-0.789118,0.038761,0.704932,-0.000722194,0.0028076,0.000271827,0.0028595,-0.000774119,0.858671,-2.96421,0.0873111,0.0616665,0.70416,-0.000709381,0.00302711,0.000339234,0.00308106,-0.000763324,1.07783,155.022,1.6496,4.1324
109,-3.33674,-0.789118,0.0456777,0.692787,-0.000659344,0.00263047,0.000260682,0.00268056,-0.000709427,0.901435,-2.96421,0.0873111,0.0687634,0.692077,-0.000645615,0.00285034,0.000329489,0.00290353,-0.000698799,1.1118,155.863,1.6232,3.8058
110,-3.33674,-0.789118,0.0518362,0.679804,-0.000597656,0.00247281,0.000246827,0.0025213,-0.00064615,0.879608,-2.96421,0.0873111,0.0750526,0.679157,-0.000583358,0.0027024,0.000314455,0.00275398,-0.000634946,1.08295,156.598,1.5987,3.5218
111,-3.33674,-0.789118,0.0579616,0.667743,-0.000543102,0.00228822,0.000235926,0.00233611,-0.000590988,0.90232,-2.96421,0.0873111,0.0813123,0.667022,-0.000525416,0.0025243,0.000305806,0.00257491,-0.00057603,1.11557,157.451,1.5723,3.1971
112,-3.33674,-0.789118,0.0633955,0.652307,-0.000485884,0.00208888,0.00022139,0.00213537,-0.000532377,0.911627,-2.96421,0.0873111,0.0868506,0.651592,-0.000464642,0.00232582,0.000286058,0.00237432,-0.000513148,1.08852,158.369,1.5395,2.886
113,-3.33674,-0.789118,0.0674846,0.619049,-0.000398973,0.00179892,0.000204367,0.00184801,-0.000448056,0.927327,-2.96421,0.0873111,0.0906425,0.618332,-0.000375438,0.00204038,0.000271063,0.0020885,-0.000423559,1.15422,160.135,1.4828,2.5759
114,-3.33674,-0.789118,0.0677538,0.601654,-0.000367184,0.00170446,0.000199663,0.00175621,-0.000418939,0.919506,-2.96421,0.0873111,0.0906228,0.600963,-0.00034588,0.00194411,0.000264067,0.00199193,-0.000393697,1.14604,160.944,1.4538,2.4164
115,-3.33674,-0.789118,0.0679676,0.585872,-0.000338321,0.00160979,0.000192421,0.00166231,-0.000390841,0.906013,-2.96421,0.0873111,0.0904626,0.585207,-0.000314801,0.00185392,0.000258076,0.001902,-0.00036287,1.13644,161.759,1.4271,2.2696
116,-3.33674,-0.789118,0.0679663,0.571747,-0.000314044,0.00153908,0.000184161,0.00159315,-0.000368105,0.903728,-2.96421,0.0873111,0.090087,0.571107,-0.000289369,0.00178267,0.000248573,0.00182952,-0.000336207,1.13942,162.517,1.4036,2.1391
117,-3.33674,-0.789118,0.0668443,0.555824,-0.000282479,0.00145637,0.000180342,0.00151383,-0.000339937,0.896993,-2.96421,0.0873111,0.0885756,0.555259,-0.000258117,0.00170263,0.000240839,0.00174947,-0.000304954,1.14171,163.375,1.3723,2.0348
118,-3.33674,-0.789118,0.0666375,0.542263,-0.00025931,0.00138276,0.000171707,0.00144111,-0.000317655,0.861302,-2.96421,0.0873111,0.0879975,0.541637,-0.000232655,0.00162127,0.00023418,0.00166862,-0.000280008,1.10598,164.136,1.3482,1.8879
119,-3.33674,-0.789118,0.0657608,0.528763,-0.000230447,0.00131166,0.000168206,0.00137564,-0.000294424,0.862001,-2.96421,0.0873111,0.0867212,0.528304,-0.000205305,0.00154911,0.000227829,0.00159717,-0.000253375,1.12396,164.905,1.3211,1.7768
120,-3.33674,-0.789118,0.0658682,0.515523,-0.000203771,0.0012384,0.00016141,0.00130582,-0.000271183,0.849248,-2.96421,0.0873111,0.0864582,0.515007,-0.000177465,0.00147492,0.000220049,0.00152431,-0.000226858,1.1094,165.75,1.2947,1.6599
121,-3.33674,-0.789118,0.0631451,0.502783,-0.000189671,0.001174,0.000154971,0.00124645,-0.000262117,0.830534,-2.96421,0.0873111,0.0834305,0.50233,-0.000162496,0.00140687,0.000213352,0.00145808,-0.000213707,1.08521,166.526,1.2696,1.5565
122,-3.33674,-0.789118,0.0630377,0.48397,-0.000154925,0.00108626,0.000145763,0.00116686,-0.000235528,0.816271,-2.96421,0.0873111,0.0828361,0.483568,-0.000131872,0.00131584,0.000203098,0.00136998,-0.00018601,1.07241,167.647,1.23,1.4039
123,-3.33674,-0.789118,0.0621401,0.471791,-0.00014143,0.00101651,0.000140188,0.00110354,-0.000228465,0.7783,-2.96421,0.0873111,0.0816209,0.471439,-0.000117379,0.00124235,0.000194859,0.00129987,-0.000174902,1.0281,168.445,1.2052,1.3034
124,-3.33674,-0.789118,0.060246,0.453498,-0.000113094,0.000935384,0.000131338,0.00103424,-0.00021195,0.764918,-2.96421,0.0873111,0.0793081,0.453169,-8.85135e-05,0.00115823,0.000186941,0.0012225,-0.000152785,1.03219,169.59,1.163,1.173
125,-3.33674,-0.789118,0.0596776,0.438602,-9.09912e-05,0.000872631,0.000127121,0.000980274,-0.00019864,0.75746,-2.96421,0.0873111,0.0783704,0.438319,-6.66645e-05,0.00109459,0.000182332,0.00116569,-0.000137763,1.01767,170.598,1.133,1.0589
126,-3.33674,-0.789118,0.0594194,0.423627,-6.71907e-05,0.000803908,0.000120287,0.000926789,-0.000190072,0.718126,-2.96421,0.0873111,0.0778034,0.423387,-4.3035e-05,0.00101978,0.000174371,0.00110122,-0.000124477,0.98082,171.514,1.1015,0.9478
127,-3.33674,-0.789118,0.0578789,0.408582,-3.32609e-05,0.000738703,0.000120805,0.000879092,-0.000173651,0.741612,-2.96421,0.0873111,0.0759466,0.4084,-1.23136e-05,0.000955854,0.000173049,0.00104845,-0.000104912,0.998029,172.46,1.0715,0.858
128,-3.33674,-0.789118,0.0571854,0.391087,-2.40829e-05,0.000659892,0.000112117,0.000814316,-0.000178506,0.699599,-2.96421,0.0873111,0.0747232,0.391021,-1.64834e-06,0.000874198,0.000165324,0.000977259,-0.000104713,0.956102,173.678,1.0293,0.7295
129,-3.33674,-0.789118,0.0560226,0.373977,-1.01898e-06,0.000589661,0.000106329,0.000764029,-0.000175388,0.636498,-2.96421,0.0873111,0.0731408,0.373889,1.74743e-05,0.000791787,0.000157071,0.000910829,-0.000101568,0.907809,174.754,0.9965,0.6319
130,-3.33674,-0.789118,0.054886,0.362487,1.31332e-05,0.000544401,9.96577e-05,0.000726856,-0.000169326,0.638151,-2.96421,0.0873111,0.0716608,0.362548,3.4274e-05,0.000750365,0.000148754,0.000872769,-8.81295e-05,0.885369,175.526,0.9688,0.5546
131,-3.33674,-0.789118,0.0542358,0.350595,3.10626e-05,0.000500954,9.50412e-05,0.000696066,-0.000164049,0.613788,-2.96421,0.0873111,0.070647,0.350653,5.19952e-05,0.000700084,0.000147907,0.000835344,-8.32673e-05,0.870946,176.324,0.9427,0.4957
132,-3.33674,-0.789118,0.0534071,0.337247,5.15271e-05,0.00046047,9.15003e-05,0.000670721,-0.000158725,0.552735,-2.96421,0.0873111,0.069431,0.337358,6.81989e-05,0.000651839,0.000141202,0.000799196,-7.91548e-05,0.80552,177.143,0.9143,0.4222
133,-3.33674,-0.789118,0.0518509,0.319233,6.64359e-05,0.000401006,9.29144e-05,0.000628074,-0.000160635,0.55782,-2.96421,0.0873111,0.0672915,0.319413,8.16051e-05,0.000584793,0.000142185,0.000746814,-8.04149e-05,0.822671,178.254,0.877,0.3362
134,-3.33674,-0.789118,0.0497084,0.305199,7.23268e-05,0.00035323,8.64247e-05,0.000589578,-0.000164021,0.520518,-2.96421,0.0873111,0.0645526,0.305426,8.92231e-05,0.000533124,0.000135983,0.000705053,-8.27079e-05,0.772038,179.181,0.8483,0.287
135,-3.33674,-0.789118,0.0482435,0.291448,8.72268e-05,0.000316782,8.78975e-05,0.000567753,-0.000163746,0.485557,-2.96421,0.0873111,0.0624993,0.291702,0.000101485,0.000494338,0.000139027,0.000674252,-7.84275e-05,0.74269,180.023,0.8187,0.2261
136,-3.33674,-0.789118,0.0463601,0.280063,9.72901e-05,0.000286147,8.33147e-05,0.000542834,-0.000159397,0.477045,-2.96421,0.0873111,0.0600599,0.280382,0.000109179,0.000451651,0.000133841,0.000637721,-7.68885e-05,0.738272,180.76,0.7939,0.1749
137,-3.33674,-0.789118,0.043003,0.271352,0.000114948,0.000244299,7.98935e-05,0.000516766,-0.000157519,0.434107,-2.96421,0.0873111,0.0560302,0.271752,0.000126191,0.000405393,0.000129899,0.000604098,-7.25158e-05,0.671194,181.638,0.7662,0.1353
138,-3.33674,-0.789118,0.0350977,0.264154,0.000115497,0.000198407,7.03404e-05,0.000469781,-0.000155876,0.402298,-2.96421,0.0873111,0.0470901,0.264651,0.000127422,0.000344302,0.000117939,0.000545602,-7.38795e-05,0.628783,182.912,0.7217,0.1034
139,-3.33674,-0.789118,0.0279325,0.26097,0.000117763,0.000177592,6.63131e-05,0.00044558,-0.000150226,0.376404,-2.96421,0.0873111,0.03911,0.261492,0.000125264,0.000314871,0.000111576,0.000512231,-7.20955e-05,0.593142,183.757,0.6944,0.0879
140,-3.33674,-0.789118,0.0184838,0.259258,0.000114765,0.000163657,5.51642e-05,0.000415542,-0.000137116,0.341229,-2.96421,0.0873111,0.0286906,0.259785,0.000120397,0.00028718,9.99477e-05,0.000472626,-6.50488e-05,0.558961,184.681,0.6647,0.0464
141,-3.33674,-0.789118,0.00898719,0.257644,0.000112956,0.000148794,5.18945e-05,0.000389519,-0.00012777,0.328933,-2.96421,0.0873111,0.0182593,0.258224,0.000118929,0.000256454,9.44684e-05,0.000437708,-6.23257e-05,0.532331,185.451,0.6383,0.0271
142,-3.33674,-0.789118,0.00224037,0.253388,0.000113188,0.000115874,4.43892e-05,0.000356089,-0.000127028,0.275193,-2.96421,0.0873111,0.0105749,0.254017,0.000116036,0.000210634,8.56332e-05,0.000394148,-6.74786e-05,0.446821,186.412,0.6084,-0.0087
143,-3.33674,-0.789118,-0.00397972,0.251074,0.000114751,9.3768e-05,3.61146e-05,0.000328119,-0.0001196,0.237118,-2.96421,0.0873111,0.00335633,0.251759,0.000115498,0.000173687,7.80386e-05,0.000352985,-6.37997e-05,0.40963,187.292,0.6077,0.0145
144,-3.33674,-0.789118,-0.00620413,0.250093,0.000105667,9.53547e-05,3.55197e-05,0.000317046,-0.000116025,0.236168,-2.96421,0.0873111,0.000781327,0.250735,0.000106803,0.000170143,7.74446e-05,0.000342828,-6.58829e-05,0.413539,188.256,0.6113,0.0203
145,-3.33674,-0.789118,-0.00648023,0.250354,0.000106738,9.98604e-05,3.5004e-05,0.000321976,-0.000115379,0.24864,-2.96421,0.0873111,0.000464398,0.250977,0.000107001,0.000176479,7.65677e-05,0.000348462,-6.49826e-05,0.420698,189.133,0.6106,0.0271
146,-3.33674,-0.789118,-0.00671566,0.250343,0.000109354,0.000104868,3.53151e-05,0.000325393,-0.000111171,0.235501,-2.96421,0.0873111,0.000227888,0.250954,0.000109997,0.000177176,7.72315e-05,0.000349175,-6.20019e-05,0.404343,189.977,0.6093,0.0319
147,-3.33674,-0.789118,-0.00648895,0.250424,0.000109922,0.000104605,3.42993e-05,0.000324117,-0.000109586,0.236571,-2.96421,0.0873111,0.000437197,0.251037,0.000108243,0.00017987,7.57814e-05,0.000348141,-6.00261e-05,0.424202,190.987,0.6126,0.0309
148,-3.33674,-0.789118,-0.00681376,0.2504,0.000109684,0.000104828,3.42995e-05,0.000325927,-0.000111415,0.232454,-2.96421,0.0873111,0.000107322,0.25101,0.000110478,0.000181718,7.62363e-05,0.000349143,-5.69464e-05,0.431355,191.907,0.6113,0.0319
149,-3.33674,-0.789118,-0.00656143,0.25015,0.000109728,0.000104734,3.47017e-05,0.000324115,-0.000109654,0.242425,-2.96421,0.0873111,0.000345408,0.250792,0.000110577,0.00017985,7.82758e-05,0.000348609,-5.81836e-05,0.43355,192.797,0.6093,0.0377
150,-3.33674,-0.789118,-0.0070453,0.250159,0.000106579,0.000103354,3.45002e-05,0.000319469,-0.000109536,0.241268,-2.96421,0.0873111,-0.000167884,0.250787,0.000104719,0.000177741,7.98209e-05,0.000343103,-6.06433e-05,0.434169,193.79,0.6428,0.3372
151,-3.33674,-0.789118,-0.00484906,0.26154,5.47741e-05,0.000282747,4.78397e-05,0.000418277,-8.07567e-05,0.374093,-2.96421,0.0873111,0.00261709,0.261809,5.61817e-05,0.000376428,9.68213e-05,0.00047095,-3.83407e-05,0.678935,194.909,0.6796,0.5237
152,-3.33674,-0.789118,-0.00243843,0.269404,3.78317e-05,0.000402341,6.28755e-05,0.000512982,-7.28069e-05,0.459081,-2.96421,0.0873111,0.00600267,0.269532,4.28163e-05,0.000516296,0.000116222,0.000590881,-3.17709e-05,0.822964,196.106,0.7188,0.7053
153,-3.33674,-0.789118,0.000433275,0.275914,1.24631e-05,0.000480979,7.76399e-05,0.00057889,-8.54471e-05,0.553463,-2.96421,0.0873111,0.00969854,0.275921,1.8427e-05,0.000605248,0.000138044,0.000674027,-5.03531e-05,0.945423,197.027,0.7488,0.8454
154,-3.33674,-0.789118,0.00397251,0.283558,-7.31538e-06,0.000579724,8.22042e-05,0.00066556,-9.31544e-05,0.550645,-2.96421,0.0873111,0.0141119,0.283519,9.34962e-07,0.000713954,0.000145529,0.000773169,-5.82798e-05,0.958475,198.012,0.7829,0.9845
155,-3.33674,-0.789118,0.00630813,0.291761,-2.33704e-05,0.000644646,9.10314e-05,0.000725746,-0.000104471,0.606394,-2.96421,0.0873111,0.0171561,0.291658,-1.70077e-05,0.000784117,0.000155515,0.000841369,-7.42626e-05,1.02498,198.839,0.8119,1.1063
156,-3.33674,-0.789118,0.0092819,0.302418,-4.38008e-05,0.000718261,9.79997e-05,0.000790414,-0.000115955,0.622638,-2.96421,0.0873111,0.0207505,0.302231,-3.47645e-05,0.000865745,0.000163035,0.000917499,-8.65188e-05,1.0503,199.667,0.8387,1.2048
157,-3.33674,-0.789118,0.0107527,0.31357,-6.59882e-05,0.000794173,0.000103336,0.000861323,-0.000133137,0.644114,-2.96421,0.0873111,0.022898,0.313335,-5.4877e-05,0.000948927,0.000171481,0.000999389,-0.000105336,1.08655,200.608,0.8689,1.3498
158,-3.33674,-0.789118,0.0146198,0.323603,-8.56234e-05,0.000854785,0.000113046,0.0009195,-0.000150335,0.669889,-2.96421,0.0873111,0.0273054,0.323288,-7.70943e-05,0.00101635,0.000182311,0.00106593,-0.00012667,1.11749,201.377,0.8947,1.4754
159,-3.33674,-0.789118,0.015343,0.33554,-0.000103814,0.000936309,0.000117418,0.000995865,-0.000163369,0.674689,-2.96421,0.0873111,0.0286214,0.335185,-9.65013e-05,0.00110155,0.000188717,0.00114958,-0.000144531,1.12563,202.219,0.9227,1.5942
160,-3.33674,-0.789118,0.0182185,0.345678,-0.00012065,0.00100936,0.000123983,0.00106566,-0.000176953,0.692261,-2.96421,0.0873111,0.0321104,0.345334,-0.000107245,0.00118074,0.000198973,0.00122801,-0.000154521,1.1541,203.026,0.9491,1.7305
161,-3.33674,-0.789118,0.0198652,0.357484,-0.000147999,0.00108537,0.000132691,0.00114121,-0.000203834,0.735915,-2.96421,0.0873111,0.0342989,0.35709,-0.000136726,0.00126042,0.00020746,0.00130841,-0.000184722,1.17865,203.819,0.9765,1.8599
162,-3.33674,-0.789118,0.0218819,0.3728,-0.000179095,0.00118515,0.000143355,0.0012382,-0.000232133,0.763044,-2.96421,0.0873111,0.0370971,0.372353,-0.000167429,0.001366,0.000219306,0.00141343,-0.000214856,1.18039,204.952,1.0148,2.0464
163,-3.33674,-0.789118,0.0237506,0.385268,-0.000205708,0.00127532,0.000150781,0.00132669,-0.000257066,0.773667,-2.96421,0.0873111,0.0395224,0.384779,-0.000191933,0.00146162,0.000229496,0.00150928,-0.000239593,1.20662,205.835,1.0425,2.1971
164,-3.33674,-0.789118,0.0249389,0.3973,-0.000225768,0.00135766,0.000157421,0.00140904,-0.000277153,0.767413,-2.96421,0.0873111,0.0412115,0.396791,-0.000216739,0.00154615,0.000239081,0.00159417,-0.000264762,1.19439,206.685,1.068,2.3527
165,-3.33674,-0.789118,0.0260163,0.411906,-0.000252661,0.00146106,0.000165171,0.00151272,-0.000304328,0.778842,-2.96421,0.0873111,0.0428521,0.411339,-0.000243175,0.00165117,0.00024807,0.00169962,-0.000291625,1.2143,207.684,1.1015,2.5256
166,-3.33674,-0.789118,0.0260278,0.425396,-0.000287143,0.00155272,0.000172967,0.00160416,-0.000338579,0.792201,-2.96421,0.0873111,0.0433522,0.42487,-0.000277256,0.00175364,0.000259294,0.00180299,-0.000326612,1.21938,208.605,1.1353,2.6966
167,-3.33674,-0.789118,0.0257936,0.435841,-0.000300659,0.00163169,0.00017965,0.00168182,-0.000350805,0.799711,-2.96421,0.0873111,0.0434678,0.435313,-0.000290628,0.00182702,0.000263402,0.00187594,-0.000339545,1.22143,209.332,1.1607,2.8367
168,-3.33674,-0.789118,0.0256193,0.449796,-0.000332293,0.00173271,0.000186345,0.00178249,-0.00038208,0.795792,-2.96421,0.0873111,0.0437237,0.449226,-0.000322597,0.00193308,0.000269574,0.00198174,-0.000371255,1.20981,210.256,1.1884,3.001
169,-3.33674,-0.789118,0.0251463,0.463917,-0.000370427,0.00183281,0.000198295,0.00188355,-0.000421169,0.812239,-2.96421,0.0873111,0.0436307,0.463356,-0.000359911,0.00203426,0.000285598,0.00208481,-0.000410467,1.25055,211.217,1.2222,3.1904
170,-3.33674,-0.789118,0.0239209,0.477506,-0.000395761,0.00193509,0.000204087,0.00198656,-0.000447215,0.806429,-2.96421,0.0873111,0.0427473,0.476937,-0.000387322,0.00213514,0.000293271,0.00218655,-0.00043873,1.21745,212.136,1.2528,3.3701
171,-3.33674,-0.789118,0.0225387,0.492843,-0.00042222,0.00205132,0.00021469,0.00210272,-0.000473623,0.826997,-2.96421,0.0873111,0.0417054,0.492291,-0.000410264,0.00225592,0.000303964,0.00230856,-0.000462913,1.23038,213.142,1.286,3.573
172,-3.33674,-0.789118,0.0211022,0.507194,-0.000459011,0.00215805,0.000224494,0.00221105,-0.000512002,0.829745,-2.96421,0.0873111,0.0405101,0.506695,-0.000448185,0.00236215,0.000314945,0.002416,-0.00050204,1.23378,214.068,1.316,3.7537
173,-3.33674,-0.789118,0.0195633,0.52014,-0.000478691,0.00225684,0.000232102,0.00231086,-0.00053272,0.818475,-2.96421,0.0873111,0.0391406,0.519652,-0.000468553,0.00246261,0.00032302,0.00251748,-0.00052343,1.2146,214.905,1.3466,3.9276
174,-3.33674,-0.789118,0.0175345,0.534042,-0.000514748,0.0023627,0.000237257,0.00241581,-0.00056785,0.822762,-2.96421,0.0873111,0.0373529,0.533561,-0.000504185,0.00256757,0.000328419,0.00262219,-0.000558803,1.20543,215.836,1.3759,4.1063
175,-3.33674,-0.789118,0.0164733,0.547654,-0.000544725,0.00246114,0.000243711,0.00251562,-0.000599198,0.805448,-2.96421,0.0873111,0.0364552,0.547139,-0.000537212,0.00267124,0.00033704,0.00272716,-0.000593113,1.186,216.72,1.4065,4.2909
176,-3.33674,-0.789118,0.0154488,0.559639,-0.000567703,0.0025503,0.000250898,0.00260553,-0.000622928,0.826295,-2.96421,0.0873111,0.0355629,0.559158,-0.000560741,0.00275534,0.000341508,0.0028114,-0.000616802,1.20496,217.489,1.4316,4.4435
177,-3.33674,-0.789118,0.0131826,0.576201,-0.000604822,0.00267092,0.000259883,0.00272799,-0.000661903,0.811757,-2.96421,0.0873111,0.0334295,0.575686,-0.000599648,0.0028755,0.000351577,0.00293293,-0.00065708,1.19042,218.528,1.4664,4.657
178,-3.33674,-0.789118,0.0117041,0.589126,-0.00063842,0.00276289,0.000267233,0.00282098,-0.000696499,0.810906,-2.96421,0.0873111,0.0320385,0.588685,-0.00063603,0.00296651,0.000357951,0.00302478,-0.000694301,1.17037,219.323,1.4934,4.8213
179,-3.33674,-0.789118,0.00955573,0.600943,-0.000666739,0.00285122,0.00027206,0.00290942,-0.000724929,0.792564,-2.96421,0.0873111,0.0299441,0.600433,-0.000663459,0.00305476,0.000363763,0.00311369,-0.000722382,1.15192,220.104,1.5234,4.9807
180,-3.33674,-0.789118,0.00731696,0.615741,-0.000698712,0.00296037,0.000280459,0.00302015,-0.000758486,0.781077,-2.96421,0.0873111,0.0277538,0.615247,-0.000694612,0.00316319,0.000373242,0.00322368,-0.000755096,1.14413,221.014,1.5501,5.1682
181,-3.33674,-0.789118,0.00517339,0.627123,-0.000725082,0.00305051,0.000289435,0.00311148,-0.000786041,0.792489,-2.96421,0.0873111,0.0256548,0.626659,-0.00072557,0.00324875,0.000380237,0.00330998,-0.000786802,1.15075,221.76,1.5726,5.3276
182,-3.33674,-0.789118,0.0018564,0.642857,-0.00076431,0.00316714,0.000295046,0.00322893,-0.000826092,0.771745,-2.96421,0.0873111,0.0223475,0.642414,-0.000762625,0.00336495,0.000386646,0.00342653,-0.000824199,1.14653,222.762,1.609,5.5353
183,-3.33674,-0.789118,-0.000863786,0.65624,-0.000792022,0.00326189,0.000300806,0.00332505,-0.000855167,0.752198,-2.96421,0.0873111,0.0196341,0.65579,-0.000790164,0.00346212,0.000391613,0.00352461,-0.000852656,1.12557,223.607,1.6374,5.7131
184,-3.33674,-0.789118,-0.00521016,0.672075,-0.000830442,0.00337782,0.000312687,0.00344305,-0.000895654,0.762722,-2.96421,0.0873111,0.0152646,0.671649,-0.000830559,0.00357132,0.000401114,0.00363504,-0.000894273,1.12589,224.603,1.6667,5.9218
185,-3.33674,-0.789118,-0.00801633,0.685793,-0.000862523,0.00347896,0.000318421,0.00354475,-0.00092831,0.761485,-2.96421,0.0873111,0.0124366,0.685359,-0.000865397,0.00367026,0.000407528,0.00373458,-0.000929711,1.1051,225.482,1.6973,6.1179
186,-3.33674,-0.789118,-0.0123122,0.698605,-0.000894836,0.00357277,0.00032314,0.00364008,-0.000962151,0.742154,-2.96421,0.0873111,0.00807337,0.698191,-0.000897356,0.00376557,0.000412824,0.00383052,-0.000962292,1.10413,226.288,1.724,6.2706
187,-3.33674,-0.789118,-0.016044,0.712515,-0.000926111,0.00367242,0.000328844,0.00374037,-0.000994068,0.729358,-2.96421,0.0873111,0.00426728,0.712125,-0.000928962,0.00386256,0.000416625,0.00392789,-0.000994281,1.08368,227.145,1.7536,6.4542
